the;die;English;1;0;A1;Article
the one;der;English;1;0;A1;Pronoun
that;der;English;1;0;A1;Pronoun
those;der;English;1;0;A1;Pronoun
who;der;English;1;0;A1;Pronoun
and;und;English;1;0;A1;Conjunction
in;in;English;1;0;A1;Preposition
(past tense);sein (Vergangenheitsform);English;1;0;A1;Auxiliary Verb
to be;sein;English;1;0;A1;Verb
a;ein;English;1;0;A1;Article
an;ein;English;1;0;A1;Article
one of;einer;English;1;0;A1;Pronoun
to have;haben;English;1;0;A1;Verb
she;sie;English;1;0;A1;Pronoun
her;sie;English;1;0;A1;Pronoun
they;sie;English;1;0;A1;Pronoun
them;sie;English;1;0;A1;Pronoun
you;Sie;English;1;0;A1;Pronoun
(future tense);werden (Futur);English;1;0;A1;Auxiliary Verb
(passive voice);werden (Passivform);English;1;0;A1;Auxiliary Verb
to become;werden;English;1;0;A1;Verb
to get;werden;English;1;0;A1;Verb
from;von;English;1;0;A1;Preposition
of;von;English;1;0;A1;Preposition
I;ich;English;1;0;A1;Pronoun
not;nicht;English;1;0;A1;Particle
it;es;English;1;0;A1;Pronoun
with;mit;English;1;0;A1;Preposition
-self;sich;English;1;0;A1;Pronoun
he;er;English;1;0;A1;Pronoun
on;auf;English;1;0;A1;Preposition
at;auf;English;1;0;A1;Preposition
to;auf;English;1;0;A1;Preposition
for;für;English;1;0;A1;Preposition
also;auch;English;1;0;A1;Adverb
too;auch;English;1;0;A1;Adverb
when;als;English;1;0;A1;Conjunction
as;als;English;1;0;A1;Conjunction
than;als;English;1;0;A1;Particle
can;können;English;1;0;A1;Verb
to be able to;können;English;1;0;A1;Verb
this;dies;English;1;0;A1;Pronoun
how;wie;English;1;0;A1;Pronoun
we;wir;English;1;0;A1;Pronoun
their;ihr;English;1;0;A1;Pronoun
hers;ihr;English;1;0;A1;Pronoun
theirs;ihr;English;1;0;A2;Pronoun
your;Ihr;English;1;0;A1;Pronoun
the way;so;English;1;0;A1;Adverb
thus;so;English;1;0;B1;Adverb
such;so;English;1;0;A2;Adverb
so;so;English;1;0;A1;Particle
by;bei;English;1;0;A1;Preposition
his;sein;English;1;0;A1;Pronoun
its;sein;English;1;0;A1;Pronoun
but;aber;English;1;0;A1;Conjunction
one;man;English;1;0;A1;Pronoun
yet;noch;English;1;0;A1;Adverb
still;noch;English;1;0;A1;Adverb
after;nach;English;1;0;A1;Preposition
toward;nach;English;1;0;A2;Preposition
or;oder;English;1;0;A1;Conjunction
all;all;English;1;0;A1;Pronoun
out;aus;English;1;0;A1;Preposition
out of;aus;English;1;0;A2;Preposition
what;was;English;1;0;A1;Pronoun
only;nur;English;1;0;A1;Adverb
to tell;sagen;English;1;0;A1;Verb
to say;sagen;English;1;0;A1;Verb
then;dann;English;1;0;A1;Adverb
if;wenn;English;1;0;A1;Conjunction
must;müssen;English;1;0;A1;Verb
to have to;müssen;English;1;0;A1;Verb
in order to;um;English;1;0;A1;Conjunction
around;um;English;1;0;A1;Preposition
about;um;English;1;0;A1;Preposition
yes;ja;English;1;0;A1;Particle
of course;ja;English;1;0;A1;Particle
no (one);keine;English;1;0;A1;Pronoun
over;über;English;1;0;A1;Preposition
above;über;English;1;0;A1;Preposition
there;da;English;1;0;A1;Adverb
because;da;English;1;0;A1;Conjunction
to give;geben;English;1;0;A1;Verb
in front of;vor;English;1;0;A1;Preposition
before;vor;English;1;0;A1;Preposition
ago;vor;English;1;0;A1;Preposition
my;mein;English;1;0;A1;Pronoun
mine;mein;English;1;0;A1;Pronoun
more;mehr;English;1;0;A1;Adverb
year;Jahr;English;1;0;A1;Noun
through;durch;English;1;0;A1;Preposition
much;viel;English;1;0;A1;Pronoun
a lot;viel;English;1;0;A1;Pronoun
